partner1	partner2	confidence
ANK1	RHAG	1.0
KDM5A	LMO2	1.0
LMO2	TAL1	1.0
RPLP1	RPLP2	1.0
ARFRP1	CYTH1	1.0
SNRPB	TOP3B	1.0
PDZK1	SLC9A3	1.0
PDZK1	SLC17A1	1.0
ANK1	OBSCN	1.0
NR5A1	SOX9	1.0
NR5A1	NRIP1	1.0
CLU	TGFBR2	1.0
STX1A	UNC13B	1.0
CD27	SIVA1	1.0
FKBP1A	TGFBR1	1.0
FKBP1A	YY1	1.0
ARFGEF1	FKBP2	1.0
NCAPG2	TAL1	1.0
NCF4	TXN	1.0
AKAP1	PRKAR1A	1.0
MYO7A	PRKAR1A	1.0
AKAP10	PRKAR1A	1.0
TCAP	TTN	1.0
CEBPZ	NFYB	1.0
DRAP1	ZEB1	1.0
KAT5	ZEB1	1.0
E2F1	NDN	1.0
ABL1	ATM	1.0
ABL1	NTRK1	1.0
FES	HSH2D	1.0
EPHB2	SRC	1.0
TGFBR1	TGFBR2	1.0
TNNC1	TNNT1	1.0
TAX1BP1	TNFAIP3	1.0
TP53	WWOX	1.0
CDC14A	TP53	1.0
PSMD2	TNFRSF1A	1.0
DDR2	SHC1	1.0
CDH1	CTNND1	1.0
CBLL1	CDH1	1.0
BIN1	ITGA1	1.0
EED	ITGA4	1.0
FLI1	GATA1	1.0
FLNA	VHL	1.0
VBP1	VHL	1.0
JADE1	VHL	1.0
LIG3	XRCC1	1.0
PNKP	XRCC1	1.0
ZNF174	ZNF24	1.0
TRIM28	ZNF10	1.0
TRIM24	ZNF10	1.0
COG5	MEFV	1.0
MYO7A	VEZT	1.0
RPA4	XPA	1.0
RAD23A	XPC	1.0
CMIP	FLNA	1.0
AR	FLNA	1.0
FLNA	TRIO	1.0
CASR	FLNA	1.0
GABPA	HCFC1	1.0
AGTR2	MTUS1	1.0
RANBP9	USP11	1.0
NONO	SFPQ	1.0
PDPK1	PRKCI	1.0
BMX	PTPN21	1.0
BYSL	TRO	1.0
CITED1	SMAD4	1.0
ACTN3	MYPN	1.0
CASK	TBR1	1.0
CASK	ID1	1.0
DLG3	LRP2	1.0
DLG3	ERBB4	1.0
IL1RAPL1	NCS1	1.0
ARHGEF11	PLXNB3	1.0
MAGED1	UNC5A	1.0
LRPPRC	UXT	1.0
CBX5	SUV39H1	1.0
UBE3A	UBQLN2	1.0
RAB9A	RABEPK	1.0
CTBP2	KLF8	1.0
NXF3	XPO1	1.0
CDC6	PPP2R3B	1.0
STAM	TIMM8A	1.0
SH3GL3	SH3KBP1	1.0
DMD	DTNA	1.0
TRIP10	WAS	1.0
ARHGEF9	GPHN	1.0
PQBP1	TXNL4A	1.0
PQBP1	WBP11	1.0
GATA1	ZFPM2	1.0
F8	PHYH	1.0
SH2D1A	SLAMF1	1.0
FMR1	UBE2I	1.0
FMR1	FXR1	1.0
FMR1	NUFIP1	1.0
MSN	TSC1	1.0
POLA1	RBMS1	1.0
RPGR	RPGRIP1	1.0
HTR2C	MPDZ	1.0
AP1G1	SYP	1.0
TAF1	UBTF	1.0
AR	RAN	1.0
AR	NR2C2	1.0
AR	NCOA3	1.0
AR	RNF4	1.0
AR	NCOA4	1.0
AR	PAK6	1.0
AR	RANBP9	1.0
AR	RCHY1	1.0
AR	PIAS2	1.0
INSM1	SORBS1	1.0
YAF2	YY1	1.0
CBX3	LBR	1.0
CBX5	LBR	1.0
KLC1	MAPK8IP3	1.0
ERBB4	SNTB2	1.0
AVEN	BCL2L1	1.0
BCL2L1	BNIP3	1.0
BCL2L1	RTN1	1.0
BCL2L1	RTN4	1.0
BAX	BCL2A1	1.0
ABCA1	FADD	1.0
LRP2	MAGI1	1.0
ANKRA2	LRP2	1.0
LRP2	LRP2BP	1.0
DAB2	LRP2	1.0
DLG2	LRP2	1.0
TAF13	TBP	1.0
PSTPIP1	PTPN12	1.0
PTPN12	SHC1	1.0
PTPN12	PXN	1.0
TFIP11	TUFT1	1.0
PDE4D	PDE4DIP	1.0
CREBBP	HNF4A	1.0
CREBBP	NFE2L2	1.0
CREBBP	TDG	1.0
AIRE	CREBBP	1.0
AP1B1	AP1G1	1.0
CDKN2A	PPP1R9B	1.0
JAK3	TIAF1	1.0
JAK3	STAT5A	1.0
EIF5A	RPL5	1.0
AES	PTRH2	1.0
HES6	TLE1	1.0
FOXA2	TLE1	1.0
IL6ST	TLE1	1.0
CENPF	TOP3B	1.0
HIRA	NFU1	1.0
PKN2	PTPN13	1.0
DSC3	PKP4	1.0
ATXN1	COIL	1.0
PEX16	PEX19	1.0
NDN	NUBP1	1.0
GARS	IARS	1.0
HTRA2	MAPK14	1.0
DUSP10	MAPK14	1.0
BBS4	PCM1	1.0
BCAR1	RAPGEF1	1.0
RANBP9	S100A7	1.0
FLII	TRAIP	1.0
CSTF2	SUB1	1.0
BARD1	CSTF1	1.0
RAD51D	XRCC2	1.0
ID2	MSC	1.0
ID2	TCF12	1.0
ID2	TCF4	1.0
PEX12	PEX5	1.0
PEX13	PEX5	1.0
ARF6	ARFIP2	1.0
NCBP1	NCBP2	1.0
NFE2L2	PMF1	1.0
EIF2AK3	NFE2L2	1.0
DLG4	KCNJ4	1.0
EPHB1	NCK1	1.0
MINK1	NCK1	1.0
KPNA4	RECQL	1.0
KPNA2	RECQL	1.0
DLG4	ERBB4	1.0
ERBB4	YAP1	1.0
DLG2	ERBB4	1.0
PIAS1	STAT1	1.0
MAPKAPK2	SHC1	1.0
DLG4	KCNJ2	1.0
AP2M1	LY9	1.0
PPP1R9B	TIAM1	1.0
HNRNPL	PTBP1	1.0
IFI35	NMI	1.0
KCNIP3	PSEN2	1.0
CDKN1B	NUP50	1.0
BMPR2	LIMK1	1.0
CYFIP2	FXR1	1.0
INPPL1	SORBS1	1.0
NCOR2	SPEN	1.0
NCOR2	ZBTB16	1.0
CDKN1C	LIMK1	1.0
RTN1	UGCG	1.0
SERPINH1	UBQLN4	1.0
HAP1	NEUROD1	1.0
DCTN1	HAP1	1.0
HAP1	HGS	1.0
COPB1	COPG1	1.0
COPB1	COPG2	1.0
